symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
DOGEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.09982,0.09982,6.6e-05,8650415,86391694.605,1.7000000000000002,0.101,0.09693,25554876.654,59.93,55.89,56.05,61.09,59.44,60.26,85673898.954,0.838
PEPEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,3.8678e-06,3.8678e-06,8.2e-05,10580758,21290516.601536002,0.6,3.9158e-06,3.7656e-06,25039680.653,49.8,52.04,50.18,50.63,50.61,56.21,22037530.808384,-3.39
AINUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.08646,0.08646,0.000839,2315178,2004944.1479999998,0.32,0.09368,0.08307,20624544.8874,59.06,49.87,45.98,49.32,67.28,62.74,2019259.994,-0.709
PENGUUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.010183,0.010183,5e-05,107921515,11006915.314849999,5.71,0.010528,0.009452,20526024.59868,55.38,55.58,54.99,57.18,66.41,75.26,11247129.91409,-2.136
MUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,3.47602,3.47602,0.000504,507494,17575633.706800003,-16.86,4.20909,3.40104,19660718.8552,42.29,39.81,33.27,19.61,25.25,51.04,17287355.274,1.668
BSBUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.7617,0.7617,-0.00025,1032364,7860935.677999999,-10.01,0.86169,0.65933,19593587.1558,73.86,68.97,61.06,53.12,58.47,86.46,7940126.477999999,-0.997
HYPEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,40.478,40.478,8.5e-05,16873360,68335420.664,-4.71,42.94,40.179,18647910.2462,48.08,44.37,37.56,29.68,39.24,49.18,69091026.70660001,-1.094
ZBTUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.21162,0.21162,0.000258,3218386,6816863.3866,21.33,0.22694,0.16352,15500108.5604,55.25,47.79,52.4,58.69,62.54,74.82,6899433.2789,-1.197
USELESSUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.03967,0.03967,0.000488,4971382,1972644.3776,-2.33,0.04091,0.03841,14487882.8868,53.42,49.84,47.06,45.28,42.67,48.43,2002597.6192,-1.496
XMRUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,375.55,375.55,0.000354,7300361,27428916.349200003,-3.7699999999999996,394.93,373.16,14279047.2476,34.62,40.13,43.31,40.71,47.06,56.78,27294077.9556,0.494
RAVEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.86236,0.86236,0.000396,3678265,31724667.798499998,-0.3,0.9157,0.83154,13513156.2014,41.0,37.28,40.64,43.41,37.39,45.1,31523233.259,0.639
APEUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.1803,0.1803,-0.00238,518019472,9319170.301280001,26.19,0.1913,0.1381,12709247.84886,47.64,55.04,73.81,82.07,67.69,72.45,9403603.97361,-0.898
